#id	body	metadata: v=1 kind=body-skin catalog_identity=51daf2212d397658d95b1444c0befaa71f9b9895e18c1414c7fd938b3c1c7a72 cards=35433 body_sha256=4a5c4df47170ee90d81e1665011092482a3a43fed8d7b8001d50cbf636dadc15
1	Flying
2	Target player draws three cards.
3	Enchant artifact\nAs long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its mana value.
4	Enchant creature card in a graveyard\nWhen this Aura enters, if it's on the battlefield, it loses "enchant creature card in a graveyard" and gains "enchant creature put onto the battlefield with this Aura." Return enchanted creature card to the battlefield under your control and attach this Aura to it. When this Aura leaves the battlefield, that creature's controller sacrifices it.\nEnchanted creature gets -1/-0.
5	Enchant Wall\nEnchanted Wall can attack as though it didn't have defender.
6	Whenever a land enters, this artifact deals 2 damage to that land's controller.
7	Destroy all lands.
8	Enchant creature\nEnchanted creature gets +X/+Y, where X is half the number of Forests you control, rounded down, and Y is half the number of Forests you control, rounded up.
9	Black creatures get +1/+1.
10	({T}: Add {B} or {R}.)
11	Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.
12	This artifact doesn't untap during your untap step.\n{T}: Add {C}{C}{C}.\n{3}: Untap this artifact.
13	({T}: Add {B} or {G}.)
14	Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
15	Cast this spell only before the combat damage step.\nTarget creature gains trample and gets +X/+0 until end of turn, where X is its power. At the beginning of the next end step, destroy that creature if it attacked this turn.
16	Flying\n{T}: Add one mana of any color.
17	First strike (This creature deals combat damage before creatures without first strike.)\nProtection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)
18	{T}, Sacrifice this artifact: Add three mana of any one color.
19	As this artifact enters, choose an opponent.\nAt the beginning of the chosen player's upkeep, this artifact deals X damage to that player, where X is the number of cards in their hand minus 4.
20	Enchant creature\nEnchanted creature has protection from black. This effect doesn't remove this Aura.
21	Cast this spell only during combat before blockers are declared.\nTarget creature defending player controls can block any number of creatures this turn. It blocks each attacking creature this turn if able.
22	Enchant creature\n{W}: Enchanted creature gets +1/+1 until end of turn.
23	Choose one —\n• Counter target red spell.\n• Destroy target red permanent.
24	Enchant creature\nEnchanted creature has protection from blue. This effect doesn't remove this Aura.
25	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
26	Target player draws X cards.
27	Enchant creature\nEnchanted creature has mountainwalk. (It can't be blocked as long as defending player controls a Mountain.)
28	Cast this spell only during your declare attackers step.\nThis turn, instead of declaring blockers, each defending player chooses any number of creatures they control and divides them into a number of piles equal to the number of attacking creatures for whom that player is the defending player. Creatures those players control that can block additional creatures may likewise be put into additional piles. Assign each pile to a different one of those attacking creatures at random. Each creature in a pile that can block the creature that pile is assigned to does so. (Piles can be empty.)
29	Untapped creatures you control get +0/+2.
30	{2}, {T}: Add one mana of any color.
31	Until end of turn, any time you could activate a mana ability, you may pay 1 life. If you do, add {C}.
32	{1}, {T}: If this artifact is on the battlefield, flip it onto the battlefield from a height of at least one foot. If this artifact turns over completely at least once during the flip, destroy all nontoken permanents it touches. Then destroy this artifact.
33	Target spell or permanent becomes red. (Its mana symbols remain unchanged.)
34	{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.
35	{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.
36	{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.
37	{1}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.
38	This creature enters with seven +1/+0 counters on it.\nAt end of combat, if this creature attacked or blocked this combat, remove a +1/+0 counter from it.\n{X}, {T}: Put up to X +1/+0 counters on this creature. This ability can't cause the total number of +1/+0 counters on this creature to be greater than seven. Activate only during your upkeep.
39	You may have this creature enter as a copy of any creature on the battlefield.
40	Flying\nWhenever this creature blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat.
41	Enchant land\nEnchanted land has indestructible and can't be enchanted by other Auras.
42	{3}, {T}: Prevent the next 2 damage that would be dealt to you this turn.
43	Remove this card from your deck before playing if you're not playing for ante.\nDiscard your hand, ante the top card of your library, then draw seven cards.
44	Enchant creature\nYou control enchanted creature.
45	At the beginning of your upkeep, sacrifice this enchantment unless you pay {W}{W}.\nAll Mountains are Plains.
46	At the beginning of each player's upkeep, this artifact deals 1 damage to that player.
47	You may have this enchantment enter as a copy of any artifact on the battlefield, except it's an enchantment in addition to its other types.
48	Counter target spell.
50	Enchant creature\nWhen enchanted creature dies, this Aura deals damage equal to that creature's toughness to the creature's controller.
51	White creatures get +1/+1.
52	Whenever a player casts a blue spell, you may pay {1}. If you do, you gain 1 life.
53	Enchant land\nAt the beginning of the upkeep of enchanted land's controller, this Aura deals 1 damage to that player.
54	{2}, {T}: Put a mire counter on target non-Swamp land. That land is a Swamp for as long as it has a mire counter on it. Activate only during your upkeep.\nWhen this artifact is put into a graveyard from the battlefield, at the beginning of each of your upkeeps for the rest of the game, remove all mire counters from a land that a mire counter was put onto with this artifact but that a mire counter has not been removed from with this artifact.
55	Add {B}{B}{B}.
56	Remove this card from your deck before playing if you're not playing for ante.\nYou own target card in the ante. Exchange that card with the top card of your library.
57	Regenerate target creature.
58	{B}{B}: Counter target green spell.
59	Target spell or permanent becomes black. (Mana symbols on that permanent remain unchanged.)
60	Remove this card from your deck before playing if you're not playing for ante.\nEach player antes the top card of their library.
61	{T}: Destroy target land.\nAt the beginning of your upkeep, unless you pay {B}{B}{B}, tap this creature and sacrifice a land of an opponent's choice.
62	Search your library for a card, put that card into your hand, then shuffle.
63	Whenever a land is put into a graveyard from the battlefield, this artifact deals 2 damage to that land's controller.
64	Destroy target artifact or enchantment.
65	Disintegrate deals X damage to any target. If it's a creature, it can't be regenerated this turn, and if it would die this turn, exile it instead.
66	{3}, {T}: Target player discards a card. Activate only during your turn.
67	Flying\n{R}: This creature gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice this creature at the beginning of the next end step.
68	Spend only black mana on X.\nDrain Life deals X damage to any target. You gain life equal to the damage dealt, but not more life than the player's life total before the damage was dealt, the planeswalker's loyalty before the damage was dealt, or the creature's toughness.
69	Target player activates a mana ability of each land they control. Then that player loses all unspent mana and you add the mana lost this way.
70	{B}: Regenerate this creature. (The next time this creature would be destroyed this turn, instead tap it, remove it from combat, and heal all damage on it.)
71	{T}: Destroy target Wall.
72	{T}: Target creature with power 2 or less can't be blocked this turn.
74	Enchant creature\nWhen this Aura enters, if enchanted creature has flying, this Aura deals 2 damage to that creature and this Aura gains "Enchanted creature loses flying."
75	Earthquake deals X damage to each creature without flying and each player.
76	First strike
77	Enchant land\nEnchanted land is a Swamp.
78	Cast this spell only during the declare blockers step.\nRemove target creature defending player controls from combat. Creatures it was blocking that had become blocked by only that creature this combat become unblocked. You may have it block an attacking creature of your choice.
79	Enchant land\nEnchanted land has "At the beginning of your upkeep, you may pay {W}{W}. If you do, you gain 1 life."
80	You may play any number of lands on each of your turns.\nWhenever you play a land, if it wasn't the first land you played this turn, this enchantment deals 1 damage to you.
81	Enchant creature (Target a creature as you cast this. This card enters attached to that creature.)\nEnchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)
82	Enchant enchantment\nAt the beginning of the upkeep of enchanted enchantment's controller, this Aura deals 1 damage to that player.
84	This spell costs {1} more to cast for each target beyond the first.\nFireball deals X damage divided evenly, rounded down, among any number of targets.
85	Enchant creature\n{R}: Enchanted creature gets +1/+0 until end of turn.
86	Destroy all Plains.
87	Enchant creature\nEnchanted creature has flying.
88	Prevent all combat damage that would be dealt this turn.
89	Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\nAt the beginning of your upkeep, this creature deals 8 damage to you unless you pay {G}{G}{G}{G}.
90	{1}: The next time an unblocked creature of your choice would deal combat damage to you this turn, prevent all but 1 of that damage.
91	({T}: Add {G}.)
92	Copy target instant or sorcery spell, except that the copy is red. You may choose new targets for the copy.
93	{B}: This creature gets +1/+1 until end of turn.
94	Whenever this creature is dealt damage, put a +1/+1 counter on it.
95	As long as Gaea's Liege isn't attacking, its power and toughness are each equal to the number of Forests you control. As long as Gaea's Liege is attacking, its power and toughness are each equal to the number of Forests defending player controls.\n{T}: Target land becomes a Forest until this creature leaves the battlefield.
96	Red creatures get +1/+1.\nWhenever a Mountain is tapped for mana, its controller adds an additional {R}.
97	Target creature gets +3/+3 until end of turn.
98	Reach (This creature can block creatures with flying.)
99	{T}: Look at target player's hand.
100	White spells cost {3} more to cast.\nActivated abilities of white enchantments cost {3} more to activate.
101	{R}: This creature gains flying until end of turn.
102	Other Goblins get +1/+1 and have mountainwalk.
103	Flying\n{R}: This creature gets +0/+1 until end of turn.
105	Enchant creature\nEnchanted creature has protection from green. This effect doesn't remove this Aura.
107	Prevent the next X damage that would be dealt to any target this turn. Until end of turn, you may pay {1} any time you could cast an instant. If you do, prevent the next 1 damage that would be dealt to that permanent or player this turn.
108	Choose one —\n• Target player gains 3 life.\n• Prevent the next 3 damage that would be dealt to any target this turn.
109	{1}, {T}: Target creature gains banding until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding a player controls are blocking or being blocked by a creature, that player divides that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
111	Enchant creature\nEnchanted creature gets +0/+2.\n{W}: Enchanted creature gets +0/+1 until end of turn.
112	Enchant creature\nEnchanted creature gets +1/+2.
113	Target creature gets +X/+0 until end of turn.
114	At the beginning of each player's draw step, if this artifact is untapped, that player draws an additional card.
116	Hurricane deals X damage to each creature with flying and each player.
117	Flying\nWhenever this creature deals damage to an opponent, that player discards a card at random.
118	Destroy target land.
119	{1}, {T}: Tap target artifact, creature, or land.
